Item,Portion,Calories,Cal from Fat,Total Fat (g),Saturated Fats (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Carbs (g),Dietary Fiber (g),Sugar (g),Protein (g)
Chicken*,4 oz,180,60,7,3,0,125,310,0,0,0,32
Barbacoa*,4 oz,170,60,7,2.5,0,65,530,2,1,0,24
Steak*,4 oz,150,60,6,2.5,0,80,330,1,1,0,21
Carnitas*,4 oz,210,120,12,7,0,65,450,0,0,0,23
Sofritas*,4 oz,150,80,10,1.5,0,0,560,9,3,5,8
Cilantro-Lime White Rice,4 oz,210,35,4,1,0,0,350,40,1,0,4
Cilantro-Lime Brown Rice,4 oz,210,50,6,0,0,0,190,36,2,0,4
Black Beans,4 oz,130,15,1.5,0,0,0,210,22,7,2,8
Pinto Beans,4 oz,130,10,1.5,0,0,0,210,21,8,1,8
Fajita Vegetables,2 oz,20,0,0,0,0,0,150,5,1,2,1
Supergreens Salad Mix,3 oz,15,0,0,0,0,0,15,3,2,1,1
Romaine Lettuce (tacos/standard),1 oz,5,0,0,0,0,0,0,1,1,0,0
**Tortillas & Shells (Standard Menu)**,,,,,,,,,,,,
Flour Tortilla (burrito),1 ea,320,80,9,0.5,0,0,600,50,3,0,8
Flour Tortilla (taco),1 ea,80,25,2.5,0,0,0,160,13,< 1,0,2
Crispy Corn Tortilla,1 ea,70,25,3,0,0,0,0,10,1,0,1
"**Salsas, Toppings, & Sides**",,,,,,,,,,,,
Fresh Tomato Salsa,4 oz,25,0,0,0,0,0,550,4,1,1,0
Roasted Chili-Corn Salsa,4 oz,80,15,1.5,0,0,0,330,16,3,4,3
Tomatillo-Green Chili Salsa,2 fl oz,15,5,0,0,0,0,260,4,0,2,0
Tomatillo-Red Chili Salsa,2 fl oz,30,5,0,0,0,0,500,4,1,0,0
Sour Cream,2 oz,110,90,9,7,0,40,30,2,0,2,2
Cheese,1 oz,110,70,8,5,0,30,190,1,0,0,6
Guacamole (topping/side)*,4 oz,230,190,22,3.5,0,0,370,8,6,1,2
Guacamole (large),8 oz,460,380,44,7,0,0,740,16,12,2,4
Queso Blanco (entr̩e)*,2 oz,120,80,9,6,0,30,250,4,0,1,5
Queso Blanco (side)*,4 oz,240,170,18,12,1,60,490,7,0,2,10
Queso Blanco (large)*,8 oz,480,330,37,23,1.5,120,980,14,<1,5,20
Chipotle-Honey Vinaigrette,2 fl oz,220,140,16,2.5,0,0,850,18,1,12,1
Chips (regular)*,4 oz,540,230,25,3.5,0,0,390,73,7,1,7
Chips (large),6 oz,810,350,38,5,0,0,590,110,11,2,11